Season,Episode,Title,Airdate,Description,Image
8,18,Homer vs. the 18th Amendment,16 Mar. 1997,After Bart inadvertently becomes drunk at a St. Patrick's Day celebration\comma an old prohibition law banning drinking in Springfield is rediscovered and enforced. Desperate to keep alcohol in the city\comma Homer takes matters into his own hands.,https://m.media-amazon.com/images/M/MV5BYjg2ZTYzODgtOTYzMS00NzA0LTk4YmYtNzNlNTljNGQ2YzZiXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
8,19,Grade School Confidential,6 Apr. 1997,Bart discovers Principal Skinner and Mrs Krabappel kissing\comma and it's not long before the whole town knows of their secret affair.,https://m.media-amazon.com/images/M/MV5BZThkOGUzMGQtZDYxYi00ODg0LThlZWItOTg4NDdkZTMyYmUwXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
8,20,The Canine Mutiny,13 Apr. 1997,After he fraudulently obtains a credit card\comma Bart buys a new dog named Laddie. When the items he purchased are repossessed\comma he lies that Santa's Little Helper is the dog he bought\comma and soon misses his pet.,https://m.media-amazon.com/images/M/MV5BNzRmOTI2MzgtMDdjMy00NDY1LWJhY2UtZDc1MGExYWE1MWNlXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
8,21,The Old Man and the Lisa,20 Apr. 1997,Burns loses his fortune and recruits Lisa to help him get it back.,https://m.media-amazon.com/images/M/MV5BZjE2ZWM5MTAtODgwMC00ZmUxLWExZDYtZDNmZWM0MDIyYjFlXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
8,22,In Marge We Trust,27 Apr. 1997,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.,https://m.media-amazon.com/images/M/MV5BZDNlZThhZDgtYTYyMy00MDk4LTg1NmEtODI5NGY3N2M4MDU4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
8,23,Homer's Enemy,4 May 1997,Industrious Frank Grimes starts working at the plant and becomes irritated by Homer's laziness; Bart buys a run-down factory for a dollar.,https://m.media-amazon.com/images/M/MV5BZTdkNzE4NDItZjU5NC00MjM4LTlkOGMtOGUzOTE5MzE4MjNhXkEyXkFqcGdeQXVyNjQwNzY3OTQ@._V1_.jpg
8,24,The Simpsons Spin-Off Showcase,11 May 1997,Troy McClure presents three spin-offs: Chief Wiggins\comma P.I.\comma The Love-Matic Grandpa\comma The Simpson Family Smile-Time Variety Hour.,https://m.media-amazon.com/images/M/MV5BNjg5YmE2OTMtMDg1Ni00ODg1LWEyYzctMjA3MjUwY2RiN2I2XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
8,25,The Secret War of Lisa Simpson,18 May 1997,After a prank destroys half the town\comma Bart is shipped away to military school. Lisa\comma seeking a challenge\comma decides to enroll with him\comma but is faced with discrimination as the school's only girl cadet.,https://m.media-amazon.com/images/M/MV5BNTU0NTY5MzQtMTZlNC00MDc5LWIzM2UtNWY5OWFmMDVlMTJiXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,1,The City of New York vs. Homer Simpson,21 Sep. 1997,Homer must travel to New York to get his car back\comma which is illegally parked at World Trade Center Plaza.,https://m.media-amazon.com/images/M/MV5BMjI3OTczMTExM15BMl5BanBnXkFtZTgwOTM1NTQ2MjE@._V1_.jpg
9,2,The Principal and the Pauper,28 Sep. 1997,At his 20th anniversary celebration as school principal\comma Principal Skinner is discovered to be an imposter of the real Seymour Skinner.,https://m.media-amazon.com/images/M/MV5BZjRjZTNhNWItNjEyMS00MmVmLWE5NWQtMDU0YmRhNzZjMDVjXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,3,Lisa's Sax,19 Oct. 1997,Homer recounts the story of Bart's first day of school\comma which corresponds with the story of how Lisa got her saxophone.,https://m.media-amazon.com/images/M/MV5BMDIzZDA0NmEtNGFkNi00OWVlLTgxYjYtNzA0ODY1NTI4NTZkXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,4,Treehouse of Horror VIII,26 Oct. 1997,Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.,https://m.media-amazon.com/images/M/MV5BNDU5MjIyNzE1Ml5BMl5BanBnXkFtZTgwODcyMzQ2MjE@._V1_.jpg
9,5,The Cartridge Family,2 Nov. 1997,After a massive soccer riot\comma Homer purchases a gun to protect the family.,https://m.media-amazon.com/images/M/MV5BZDAyMDBiNWYtZGE4YS00YjI5LWI4MzAtYzlmNGE1Y2ViYmU5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,6,Bart Star,9 Nov. 1997,A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders\comma Homer ends up coaching the team\comma but his favoring of Bart makes him unpopular.,https://m.media-amazon.com/images/M/MV5BNzIzN2Q3ZmEtZjQ1Yi00YTdhLTkxOWQtZmYyZjE4YmFhNjgxXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,7,The Two Mrs. Nahasapeemapetilons,16 Nov. 1997,Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation\comma he pretends Marge is his wife.,https://m.media-amazon.com/images/M/MV5BN2ViMzBiNGUtNGZkYy00OTA3LTgyZDctMTViNmVhNTdhOGI5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,8,Lisa the Skeptic,23 Nov. 1997,Townspeople believe Lisa has unearthed the fossiled remains of a angel.,https://m.media-amazon.com/images/M/MV5BZjk5YzhkM2MtY2I1ZS00N2FjLWE0ZmItM2RkYzU0NTRkYjRkXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,9,Realty Bites,7 Dec. 1997,Marge becomes a real-estate agent.,https://m.media-amazon.com/images/M/MV5BNjZkMzEyMzctYTc5NC00MTIzLTk1NjMtZjM0MzMwNjQ3MTcxXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,10,Miracle on Evergreen Terrace,21 Dec. 1997,When Bart accidentally burns down the family's Christmas tree and gifts\comma he claims that a robber stole everything. As a result\comma the town gets them a new tree and pitches in to raise funds.,https://m.media-amazon.com/images/M/MV5BMTUwMzc2MDI4Nl5BMl5BanBnXkFtZTgwODc2NTQ2MjE@._V1_.jpg
9,11,All Singing\comma All Dancing,4 Jan. 1998,Homer is disappointed when the western he rented turns out to be a musical\comma so the family reminds him of the musical moments in the show's history.,https://m.media-amazon.com/images/M/MV5BYmQ4Nzk0NzgtZjM3My00MmRhLTk0NmUtZTY2MzEwYjMyMmJmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,12,Bart Carny,11 Jan. 1998,Bart and Homer befriend two carnies and invite them to stay with them\comma but the carnies soon swindle the Simpsons out of their house.,https://m.media-amazon.com/images/M/MV5BMDY4YzA0ODQtYzg3MC00ZGU2LTk2ZmYtMjgyZjhkODA2ZjRmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,13,The Joy of Sect,8 Feb. 1998,An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.,https://m.media-amazon.com/images/M/MV5BNmI2MzdlZTktNTZiNy00ZmYyLTg1MmItNTNiN2Y3OTA2MWUyXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,14,Das Bus,15 Feb. 1998,While the kids become stranded on a desert island\comma Homer attempts to cash in on the Internet.,https://m.media-amazon.com/images/M/MV5BNDNkODJmYTMtYmJmOS00YTljLWJmZGEtYTNhM2VmM2I4MTRlXkEyXkFqcGdeQXVyOTQ1NjAxODA@._V1_.jpg
9,15,The Last Temptation of Krust,22 Feb. 1998,After a disastrous performance\comma Krusty changes his image and becomes an edgy stand-up.,https://m.media-amazon.com/images/M/MV5BODk4NTE3YTQtM2MwNy00ZGM0LWE0YTYtNTEwZTgyMTY1Y2Y1XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,16,Dumbbell Indemnity,1 Mar. 1998,Homer and Moe attempt insurance fraud so that Moe can support his new girlfriend. When Homer ends up in jail\comma Moe has to decide whether or not to come forward.,https://m.media-amazon.com/images/M/MV5BMzk4YWQyMzktNDE1Ny00NjRjLWE3MWUtMjA4ZjU5OTMzZTViXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,17,Lisa the Simpson,8 Mar. 1998,Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile\comma Jasper freezes himself in the Kwik-E-Mart freezer.,https://m.media-amazon.com/images/M/MV5BZDdkMmUyNTctMzE2Ni00N2UxLTg1ZjYtNWViYzZjMzdkMTBiXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,18,This Little Wiggy,22 Mar. 1998,Bart is reluctant to hang out with Ralph Wiggum\comma until he gains access to Chief Wiggum's master key to the city.,https://m.media-amazon.com/images/M/MV5BN2I1N2JkM2UtOGUwYy00MWYyLWI5YjctYjUyMzkwY2I1OTdhXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,19,Simpson Tide,29 Mar. 1998,Homer causes an international incident after he joins the Naval reserves.,https://m.media-amazon.com/images/M/MV5BMzg2NTkxMGQtOGMxMy00OWU0LWI0ZTgtZDhmMDM1ZjY2N2Y2XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,20,The Trouble with Trillions,5 Apr. 1998,Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns\comma he switches sides and the two flee to Cuba for refuge.,https://m.media-amazon.com/images/M/MV5BZTg1N2EzZTgtMDY3ZC00OTBhLTlkNTAtZDUwYWZmNDRlMzI4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,21,Girly Edition,19 Apr. 1998,Bart and Lisa become locked in competition when they anchor a children's news program. Meanwhile\comma Homer adopts a helper monkey.,https://m.media-amazon.com/images/M/MV5BZTAwOTYyMTEtN2ZiYi00NDVkLWJjMWQtNTM2OWRlOTg3ZWYzXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,22,Trash of the Titans,26 Apr. 1998,Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.,https://m.media-amazon.com/images/M/MV5BNjAwNzg3NjUtNDAzYy00NzVkLWJjZTQtZjhlNTZkMTU3OTY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
9,23,King of the Hill,3 May 1998,After humiliating Bart at a church picnic\comma Homer resolves to get in shape. Soon\comma he is contacted by an energy bar company that wants him to climb a mountain as a promotion.,https://m.media-amazon.com/images/M/MV5BZGM1YzczNjMtYWNhYi00M2NhLTkwMTEtZjBlMWI2ZjBhNWQ4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
9,24,Lost Our Lisa,10 May 1998,Lisa gets lost after she tries to take a bus to a museum.,https://m.media-amazon.com/images/M/MV5BMDAzYTAyMDktZjAzMS00ZDlmLWE1MjItZDQ2Zjk5MTg2ODUyXkEyXkFqcGdeQXVyMTYzMzI5MzY@._V1_.jpg
9,25,Natural Born Kissers,17 May 1998,Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.,https://m.media-amazon.com/images/M/MV5BNmRiMTdiOTctMWEyZC00ZTBlLTk2NzktYjRmYmI0OGEyMWM5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,1,Lard of the Dance,23 Aug. 1998,Homer and Bart try to start their own grease business; Lisa organizes a school dance.,https://m.media-amazon.com/images/M/MV5BYjFiMzA2MGMtNjQwMC00YmVkLWFiODgtZWVkMmU4Yzg2YTQ3XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,2,The Wizard of Evergreen Terrace,20 Sep. 1998,Homer's midlife crisis leads to a disastrous attempt at being an inventor.,https://m.media-amazon.com/images/M/MV5BZDI3YTU4Y2UtMDg0ZC00YWNjLTk3MDItNzg1YzNlNTczMGE2XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,3,Bart the Mother,27 Sep. 1998,When Bart accidentally kills a mother bird\comma he tries to make amends by raising the eggs.,https://m.media-amazon.com/images/M/MV5BYmMwZmE1YTctNTM5Mi00MThkLWFlYmMtZDMxMWYyYThkZWRhXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,4,Treehouse of Horror IX,25 Oct. 1998,Homer receives an evil hair transplant; Bart and Lisa get trapped in an Itchy and Scratchy cartoon; Maggie is revealed to be an alien.,https://m.media-amazon.com/images/M/MV5BMTYzMDU4NTMyNV5BMl5BanBnXkFtZTgwMDM1NTQ2MjE@._V1_.jpg
10,5,When You Dish Upon a Star,8 Nov. 1998,Homer becomes a Hollywood insider when he befriends Alec Baldwin and Kim Basinger.,https://m.media-amazon.com/images/M/MV5BODc2N2U0YWYtYTUwYy00ZjhkLWFjN2EtMjNlNmI5Y2YxZTNiXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,6,D'oh-in' in the Wind,15 Nov. 1998,Homer becomes a hippie after a revelation about his middle name.,https://m.media-amazon.com/images/M/MV5BNTk3OTQyYWYtZmI0My00Zjk0LTlkN2UtNmY2MGFhYTcwMjRkXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,7,Lisa Gets an 'A',22 Nov. 1998,When Lisa cheats on a test\comma she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet.,https://m.media-amazon.com/images/M/MV5BY2NhZjY0NTItMjc4MC00ZWYyLWEwNDMtMDU1NDU5MTU4NjJlXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,8,Homer Simpson in: 'Kidney Trouble',6 Dec. 1998,Homer gets cold feet before a transplant operation which could save Grampa's life.,https://m.media-amazon.com/images/M/MV5BZDE4MWI1NTQtMTk4NS00YjM3LWFmZTgtYTE5M2E4YjU1ZjAwXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,9,Mayored to the Mob,20 Dec. 1998,Homer deals with corruption when he becomes Mayor Quimby's bodyguard.,https://m.media-amazon.com/images/M/MV5BMGM4ODQxZTAtNWY3Ni00ZDQ4LThjM2EtNDE4MWFiNmJhNzBmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,10,Viva Ned Flanders,10 Jan. 1999,When Homer takes Ned to Las Vegas in an attempt to get him to loosen up\comma the two end up drunkenly marrying a pair of cocktail waitresses.,https://m.media-amazon.com/images/M/MV5BMTk0NjQyMDg2M15BMl5BanBnXkFtZTgwNDU0NTQ2MjE@._V1_.jpg
10,11,Wild Barts Can't Be Broken,17 Jan. 1999,The children of Springfield revolt after a curfew is enforced.,https://m.media-amazon.com/images/M/MV5BYWI3NDUyNTYtNjM3ZC00YTQxLTk3YTctZjRmYWQzZTRkN2Y3XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,12,Sunday\comma Cruddy Sunday,31 Jan. 1999,Homer and his friends head to the Superbowl\comma but are forced to sneak in when they discover their tickets are counterfeit.,https://m.media-amazon.com/images/M/MV5BMDQ5ZTE1NDYtYTgwMC00OWNhLWI1ZGUtYTNhZWNjNWYwNDNmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,13,Homer to the Max,7 Feb. 1999,Homer changes his name when a dimwitted TV character named Homer Simpson becomes an overnight sensation.,https://m.media-amazon.com/images/M/MV5BMGU5MDc1ODgtNTkxMC00MDRiLWI1ZGMtMmEzMTc1MDJiODFiXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,14,I'm with Cupid,14 Feb. 1999,The husbands of Springfield plot revenge after Apu outshines them on Valentine's Day.,https://m.media-amazon.com/images/M/MV5BZTY0NWFmMTItYTljZi00NmJlLWJiNGItYjIyZTk2YjQ4ZjU3XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,15,Marge Simpson in 'Screaming Yellow Honkers',21 Feb. 1999,Marge's new SUV gives her a potent case of road rage.,https://m.media-amazon.com/images/M/MV5BZWI2YjE3NWYtYTE1Yy00OGIyLWJkYTItNzMwNDJkOTA1NDYzXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,16,Make Room for Lisa,28 Feb. 1999,Lisa feels that her relationship with her father will never be close\comma and she develops stress-induced stomach pains; Marge inadvertently knocks out Milhouse.,https://m.media-amazon.com/images/M/MV5BZjEwNDc5NGItYmMwNi00MGU2LWEzYjYtNTZjN2Y2NDIwOTJhXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,17,Maximum Homerdrive,28 Mar. 1999,Homer completes a cross country delivery for a trucker who dies before completing it\comma and takes Bart along for the ride. Meanwhile\comma Marge and Lisa experience problems with a novelty doorbell they purchase.,https://m.media-amazon.com/images/M/MV5BMzE5Mjg0NjQtNzRmOS00NTI4LWIyY2QtZmQzNzEzODM5N2Y0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,18,Simpsons Bible Stories,4 Apr. 1999,Three famous religious stories are retold Simpsons style as the family nods off at church.,https://m.media-amazon.com/images/M/MV5BNmFhYzZkMzctZmU0OC00Y2NiLTg1MDQtYmEyNjg2OTJjM2M2XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,19,Mom and Pop Art,11 Apr. 1999,Homer becomes the talk of the Springfield art community when a failed barbecue pit he worked on is mistaken for an art project.,https://m.media-amazon.com/images/M/MV5BMTc4OGI2MmItMWEwMC00OThjLTg2MjItYzhiZGI1OGIwZjg1XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,20,The Old Man and the 'C' Student,25 Apr. 1999,Bart is punished with community service at the Retirement Castle after he ruins Springfield's chances of hosting the Olympics.,https://m.media-amazon.com/images/M/MV5BZjNjZDQ0NzMtODk2Mi00NDc0LWIxOTUtNzE3YzAxYjc0ZmU0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,21,Monty Can't Buy Me Love,2 May 1999,When a wealthy man moves to Springfield\comma Mr. Burns begins to feel that he is losing his grasp on the citizens and decides to enlist the help of Homer.,https://m.media-amazon.com/images/M/MV5BZWFiYmFiMjQtMzc4OS00ZDNiLWE0MjktNzM5ZWQyY2Y4Yjk0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,22,They Saved Lisa's Brain,9 May 1999,Lisa is invited to join the Springfield chapter of MENSA and after Mayor Quimby flees\comma the group ends up running the city. Meanwhile\comma Homer poses for a series of erotic photos.,https://m.media-amazon.com/images/M/MV5BZGY2YzA5ZjAtODljMS00OGE0LWFjODAtNDdlOTNkYjI3YzMzXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
10,23,Thirty Minutes Over Tokyo,16 May 1999,The Simpsons must perform on a Japanese game show after Homer loses their money on a vacation.,https://m.media-amazon.com/images/M/MV5BZmFiZjdiMGEtODc4YS00MWRhLTg4ZWUtNDE5NmE3ZGE0MzcwXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,1,Beyond Blunderdome,26 Sep. 1999,Convinced he's the only man with guts to tell him the truth\comma Mel Gibson insists Homer accompanies him in Hollywood to help fix his newest film project.,https://m.media-amazon.com/images/M/MV5BMzQyYjU4NWUtMTgyZC00OTJlLTllZmUtZjVjMTg1M2E4YWUyXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,2,Brother's Little Helper,3 Oct. 1999,Bart is put on medication to control his behavior\comma but the pills cause him to become paranoid and insane.,https://m.media-amazon.com/images/M/MV5BMGZiODVlODgtZjE2NS00NjJmLWI3M2YtNGYyMmFlNTZmNzg4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,3,Guess Who's Coming to Criticize Dinner?,24 Oct. 1999,Homer's negative reviews as a food critic puts his life in danger. Fortunately he has Lisa fighting for him.,https://m.media-amazon.com/images/M/MV5BNzc4YTAxMDctODM2Yi00Y2Y2LTllYmMtZDgxNDczYzc1ZWE1XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,4,Treehouse of Horror X,31 Oct. 1999,The Simpsons attempt to cover up their accidental murder of Ned Flanders. Bart and Lisa acquire super powers. An electronic apocalypse threatens Springfield.,https://m.media-amazon.com/images/M/MV5BNmFmNTUzYmYtZjcwYy00ZGU3LWEyODUtYmZkMmIxM2RmZGE2XkEyXkFqcGdeQXVyNzA5NTYxMDg@._V1_.jpg
11,5,E-I-E-I-(Annoyed Grunt),7 Nov. 1999,Homer cowards out of a pistol-duel and hides out with the rest of the family on a country farm.,https://m.media-amazon.com/images/M/MV5BMjAxNTE0MGItZmZhNi00ZmYzLWJkZTUtNmZiYjk4MGY2ZTk0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,6,Hello Gutter\comma Hello Fadder,14 Nov. 1999,Homer becomes a minor celebrity around Springfield after bowling a perfect game.,https://m.media-amazon.com/images/M/MV5BOTYwZWRkNWEtODBiOC00ZTdlLTllOGMtNjNlN2MyYmU0NDJmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,7,Eight Misbehavin',21 Nov. 1999,Apu struggles with fatherhood after Manjula gives birth to octuplets.,https://m.media-amazon.com/images/M/MV5BNzgxODViODEtOTI1OS00MGMxLWExMjEtMjNlMzJjY2FhYzNjXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,8,Take My Wife\comma Sleaze,28 Nov. 1999,Homer's attempt at creating a motorcycle gang attracts a real gang\comma who kidnap Marge.,https://m.media-amazon.com/images/M/MV5BMWNjYTA3MTAtZmRmZC00NDdiLWJmOGUtNTU4MzQwZGJhODI0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,9,Grift of the Magi,19 Dec. 1999,A toy company purchases Springfield Elementary and uses the student body as a focus group for their new Christmas toy Funzo.,https://m.media-amazon.com/images/M/MV5BMjE5NjQ2MTI0N15BMl5BanBnXkFtZTgwNTA3NTQ2MjE@._V1_.jpg
11,10,Little Big Mom,9 Jan. 2000,Lisa finds out how rough Marge has it when her mom is in traction and she becomes the woman of the house. Homer and Bart's antics get her so worked up she conspires to teach them a lesson.,https://m.media-amazon.com/images/M/MV5BNGRlYWYyYzktNzYxNi00MTFjLTlkOTQtODA0ZGI2MTFlMTkyXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,11,Faith Off,16 Jan. 2000,Bart is led to believe he has special healing powers after a tent revival.,https://m.media-amazon.com/images/M/MV5BNDU1NTMwNTEtNjk0Yy00NDNlLWFiODctZWI5ODVlMGZmNzk2XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,12,The Mansion Family,23 Jan. 2000,Homer receives responsibility for Mr. Burns' mansion when he is on leave and takes Burns' yacht to international waters to have a party.,https://m.media-amazon.com/images/M/MV5BMzA3NzFiNDAtNjJkNS00YjU2LWI2MjAtYmI5Y2EwOWNmMjg0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,13,Saddlesore Galactica,6 Feb. 2000,The Simpsons get an abused horse and make him a contender in horse racing. Homer finds out a secret conspiracy about jockeys. Lisa tries to reach President Clinton when the results of a school band talent competition seem tainted.,https://m.media-amazon.com/images/M/MV5BODBlMzliMGQtMGZmYS00OTNkLTljMTUtNzE5MzMxYjkyNTAyXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,14,Alone Again\comma Natura-Diddly,13 Feb. 2000,Ned deals with his grief after Maude's untimely death.,https://m.media-amazon.com/images/M/MV5BYjdlM2VmNWItYjA2NS00N2JjLTk0NjYtOTg3OTE2NmE1MDEyXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,15,Missionary: Impossible,20 Feb. 2000,When Homer is wanted dead for reneging on a 10\comma000 dollar pledge to PBS\comma Reverend Lovejoy sets him up for missionary work in the South Pacific until the heat dies down.,https://m.media-amazon.com/images/M/MV5BYjM5NjQwYTgtYmZmNC00MDVhLTllNGYtNzJhYTZkZThiY2Y0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,16,Pygmoelian,27 Feb. 2000,Plastic surgery not only transforms Moe the Bartender from ugly to hunky\comma it helps gets him a job on a hit daytime drama.,https://m.media-amazon.com/images/M/MV5BZWU4NTZmNWUtY2IzZS00YjE4LWE5OTgtZGE0ZDQ2MzI3MzgxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
11,17,Bart to the Future,19 Mar. 2000,Bart gets a glimpse of the future while the family is on vacation at an Indian casino.,https://m.media-amazon.com/images/M/MV5BMzZlNzFhNmItYjcyOC00NjUwLWE4ODUtZTUxYTNjMmYxMjA0XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,18,Days of Wine and D'oh'ses,9 Apr. 2000,Homer doesn't like it when Barney quits drinking; Bart and Lisa get into trouble when they enter a photo contest for the new phone book cover.,https://m.media-amazon.com/images/M/MV5BYmQ5YmUyYWUtNjFmZS00NjkzLWEyMzItNGVkYzU2MjU4OTczXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,19,Kill the Alligator and Run,30 Apr. 2000,Fearing he only has three years to live\comma Homer moves the family to Florida so he can live a better life\comma until they become wanted criminals after injuring a famous alligator.,https://m.media-amazon.com/images/M/MV5BYjBkYmRlYzItNWQyZC00M2NhLTliMTgtNDA2ODU5ODMyNmI5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,20,Last Tap Dance in Springfield,7 May 2000,Lisa has difficulties learning to tap dance; Bart and Milhouse ditch summer camp to spend a week living in the mall.,https://m.media-amazon.com/images/M/MV5BZmY3YWZhMTYtM2M4Ni00YTc5LThjZmMtOTgyYjRiZmZlMzYyXkEyXkFqcGdeQXVyNzA5NTYxMDg@._V1_.jpg
11,21,It's a Mad\comma Mad\comma Mad\comma Mad Marge,14 May 2000,Everybody loves the new Simpsons' house guest Becky. Except Marge\comma who thinks Becky wants to kill her.,https://m.media-amazon.com/images/M/MV5BYzUyYjQ3M2ItM2UyYi00MTkxLTlmYmYtMzgyNTFkMzJlMGVmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
11,22,Behind the Laughter,21 May 2000,Fans are invited to take a behind-the-scenes look at The Simpsons\comma revisiting some of the most memorable experiences the family has been through.,https://m.media-amazon.com/images/M/MV5BODU2MzQ4ODA4OF5BMl5BanBnXkFtZTgwNDM4NTQ2MjE@._V1_.jpg
12,1,Treehouse of Horror XI,1 Nov. 2000,Homer must do one good deed to get into Heaven; Bart and Lisa encounter a witch in a gingerbread house; Super-intelligent dolphins strike back at humanity.,https://m.media-amazon.com/images/M/MV5BMTg1NjYzMTg1NF5BMl5BanBnXkFtZTgwMDk5ODQ2MjE@._V1_.jpg
12,2,A Tale of Two Springfields,5 Nov. 2000,Springfield is split in two when Homer revolts because his area code is changed; the new town walls itself off from the neighbors.,https://m.media-amazon.com/images/M/MV5BMDc1NmVmNTktODU3ZC00YzU2LWE1MTAtMzYyOTg1OTJiNmVkXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
12,3,Insane Clown Poppy,12 Nov. 2000,After he learns he has a daughter\comma Krusty turns to Homer for parenting advice.,https://m.media-amazon.com/images/M/MV5BZjY1MDViZDAtMjZhYS00MjNkLWJlOTItMmQ2NGZhOGEyMzI5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
